                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.9411,                 4.1965,                 1.5384,                0.67667,                 0.4223,                0.47794,                0.23115,                 1.4858,                  6.181,                 1.3101,             0.00028339,             0.00028339,             0.00028339
                      2,                 1.6397,                  1.727,                 1.2621,                0.43035,                0.57473,                0.41961,                0.21025,                 1.4388,                 7.1775,                 1.2259,              0.0005796,              0.0005796,              0.0005796
                      3,                 1.5391,                 1.3242,                 1.2634,                0.48488,                0.68115,                0.62555,                0.28477,                  1.524,                 2.1991,                 1.3085,             0.00087185,             0.00087185,             0.00087185
                      4,                 1.4634,                   1.23,                 1.2116,                0.62486,                0.79698,                0.74099,                0.35145,                 1.5341,                 2.5055,                 1.4663,              0.0011601,              0.0011601,              0.0011601
                      5,                 1.5237,                 1.1496,                 1.2667,                0.69723,                0.58964,                0.62947,                0.31861,                 1.7238,                 2.0034,                 1.4756,              0.0014445,              0.0014445,              0.0014445
                      6,                 1.4996,                 1.1046,                 1.3012,                0.49203,                 0.6029,                 0.5043,                0.25992,                 1.6402,                 1.7237,                  1.471,               0.001612,               0.001612,               0.001612
                      7,                 1.4561,                  1.047,                 1.2936,                0.72822,                0.84181,                0.79336,                0.40238,                 1.4714,                 1.2096,                 1.4522,               0.001601,               0.001601,               0.001601
                      8,                 1.4502,                0.97858,                 1.2827,                0.24343,                0.19484,                0.13657,                0.05561,                 2.7069,                 3.5372,                 2.8936,                0.00159,                0.00159,                0.00159
                      9,                 1.4282,                0.96371,                 1.2746,                0.72777,                0.62229,                0.66943,                0.26041,                 1.7673,                 1.4836,                 1.7019,               0.001579,               0.001579,               0.001579
                     10,                 1.4055,                0.92171,                 1.2762,                0.66069,                0.67293,                0.70751,                0.39634,                 1.5876,                 1.2008,                 1.5784,               0.001568,               0.001568,               0.001568
                     11,                 1.3681,                0.84965,                 1.2581,                0.71738,                 0.7687,                0.77755,                0.35684,                 1.6758,                 1.0428,                 1.7375,               0.001557,               0.001557,               0.001557
                     12,                 1.4119,                0.80448,                 1.2829,                0.76723,                0.74602,                0.77895,                 0.4292,                 1.5392,                 1.0649,                 1.5911,               0.001546,               0.001546,               0.001546
                     13,                 1.3469,                0.76204,                 1.2293,                0.68933,                0.77739,                0.75695,                0.35593,                  1.674,                 1.1159,                 1.6865,               0.001535,               0.001535,               0.001535
                     14,                 1.3772,                 0.7829,                 1.2283,                0.72857,                0.77606,                0.75139,                0.39574,                 1.5018,                  1.001,                 1.4945,               0.001524,               0.001524,               0.001524
                     15,                 1.3004,                0.76527,                 1.2079,                0.64159,                0.83294,                0.73521,                0.37867,                 1.6246,                0.96063,                 1.5962,               0.001513,               0.001513,               0.001513
                     16,                 1.2796,                0.76036,                 1.2057,                0.71082,                0.84086,                0.78956,                0.41946,                 1.4491,                0.88441,                 1.4267,               0.001502,               0.001502,               0.001502
                     17,                 1.3003,                0.76076,                 1.1897,                0.77969,                0.83584,                0.83668,                 0.4738,                 1.3929,                0.99238,                 1.3921,               0.001491,               0.001491,               0.001491
                     18,                 1.2515,                0.68479,                  1.178,                0.66789,                0.64554,                0.67158,                0.35951,                 1.4857,                 0.9945,                  1.464,                0.00148,                0.00148,                0.00148
                     19,                 1.3298,                0.70959,                 1.2234,                0.83131,                0.68509,                0.79576,                0.41466,                 1.4976,                   1.09,                 1.4497,               0.001469,               0.001469,               0.001469
                     20,                 1.2931,                 0.7153,                 1.2036,                 0.7858,                0.81886,                0.83463,                0.40007,                 1.6686,                0.97574,                 1.5816,               0.001458,               0.001458,               0.001458
                     21,                 1.2536,                0.69236,                 1.1773,                0.83403,                0.65884,                0.75457,                0.35763,                 1.6445,                0.98672,                 1.5976,               0.001447,               0.001447,               0.001447
                     22,                 1.2579,                 0.6842,                 1.1641,                0.73087,                0.81886,                0.78565,                0.39171,                 1.5893,                 0.8775,                 1.5103,               0.001436,               0.001436,               0.001436
                     23,                 1.1999,                0.64561,                 1.1325,                0.84475,                 0.7007,                0.81722,                0.41936,                 1.5382,                0.86764,                 1.5127,               0.001425,               0.001425,               0.001425
                     24,                 1.2112,                0.63301,                 1.1461,                0.80163,                0.78896,                0.80145,                0.40353,                 1.5559,                0.89513,                 1.5382,              0.0014139,              0.0014139,              0.0014139
                     25,                 1.1798,                 0.6087,                 1.1438,                0.83881,                 0.8259,                0.83179,                0.43056,                  1.495,                  0.808,                 1.4604,              0.0014029,              0.0014029,              0.0014029
                     26,                 1.1371,                0.58034,                 1.1105,                0.83376,                0.86072,                0.81182,                0.40455,                 1.5478,                0.89979,                 1.4969,              0.0013919,              0.0013919,              0.0013919
                     27,                 1.1324,                0.61419,                 1.1247,                0.79864,                 0.8514,                0.79699,                0.40765,                 1.6252,                0.92381,                 1.5575,              0.0013809,              0.0013809,              0.0013809
                     28,                 1.1442,                0.57652,                  1.137,                0.89031,                0.69888,                0.79454,                0.41199,                 1.6925,                0.89752,                 1.6321,              0.0013699,              0.0013699,              0.0013699
                     29,                 1.1128,                0.57397,                 1.1001,                0.81903,                0.77354,                0.79808,                0.39201,                 1.6162,                0.92624,                 1.6186,              0.0013589,              0.0013589,              0.0013589
                     30,                 1.1068,                0.58481,                 1.1002,                0.80439,                0.80516,                0.82924,                0.41928,                 1.5617,                0.89232,                 1.5392,              0.0013479,              0.0013479,              0.0013479
                     31,                  1.101,                0.57248,                 1.0998,                0.74933,                0.76741,                0.77851,                0.43625,                 1.3985,                0.93618,                  1.394,              0.0013369,              0.0013369,              0.0013369
                     32,                 1.0674,                0.57667,                 1.0891,                0.84351,                0.77034,                0.77948,                0.44831,                 1.3474,                0.87205,                 1.3817,              0.0013259,              0.0013259,              0.0013259
                     33,                 1.0704,                0.54747,                 1.1043,                0.80294,                0.77034,                0.77787,                0.41325,                 1.4607,                0.86749,                 1.4798,              0.0013149,              0.0013149,              0.0013149
                     34,                 1.0961,                0.56435,                 1.0899,                0.77657,                0.77739,                0.76292,                0.41844,                 1.4868,                0.84312,                 1.4928,              0.0013039,              0.0013039,              0.0013039
                     35,                 1.0247,                0.52474,                 1.0579,                0.75968,                0.77739,                0.78177,                0.40345,                 1.5182,                0.87022,                 1.5187,              0.0012929,              0.0012929,              0.0012929
                     36,                 1.0191,                0.51358,                 1.0582,                0.78595,                0.82945,                0.82009,                0.44181,                  1.477,                0.82929,                 1.5181,              0.0012819,              0.0012819,              0.0012819
